table_name,column_name,data_type,position,description,approx_rows_in_table
company_reference,eca_company_year_id,character varying(26),1,eca company year id,151127
company_reference,iss_company_id,double precision,2,iss company id,151127
company_reference,company_name,character varying(63),3,company name,151127
company_reference,iss_country,character varying(5),4,iss country,151127
company_reference,entity_type_code,character varying(5),5,entity type code,151127
company_reference,entity_status_code,character varying(3),6,entity status code,151127
company_reference,cusip,character varying(11),7,cusip,151127
company_reference,isin,character varying(14),8,isin,151127
company_reference,ticker,character varying(22),9,ticker,151127
company_reference,sedol,character varying(9),10,sedol,151127
company_reference,gvkey,character varying(8),11,gvkey,151127
company_reference,iid,character varying(5),12,iid,151127
company_reference,gics_8_code,character varying(10),13,gics 8 code,151127
company_reference,gics_sub_industry,character varying(57),14,gics sub industry,151127
company_reference,market_methodology_id,double precision,15,market methodology id,151127
company_reference,market_methodology,character varying(6),16,market methodology,151127
company_reference,fiscal_year,double precision,17,fiscal year,151127
company_reference,fiscal_year_id,double precision,18,fiscal year id,151127
company_reference,fy_end_date,date,19,fy end date,151127
company_reference,fy_start_date,date,20,fy start date,151127
company_reference,fy_start_date_collected,date,21,fy start date collected,151127
company_reference,fiscal_year_order,double precision,22,fiscal year order,151127
company_reference,most_recent_fy,double precision,23,most recent fy,151127
company_reference,has_pay_data_yn,double precision,24,has pay data yn,151127
company_reference,meeting_id,double precision,25,meeting id,151127
company_reference,meeting_date,date,26,meeting date,151127
company_reference,meeting_profile_added_date,date,27,meeting profile added date,151127
company_reference,meeting_profile_completed_date,date,28,meeting profile completed date,151127
company_reference,meeting_research_delivered_date,date,29,meeting research delivered date,151127
company_reference,vote_results_collected_date,date,30,vote results collected date,151127
company_reference,first_meeting_date,date,31,first meeting date,151127
company_reference,effective_date,date,32,effective date,151127
company_reference,snap_date_added,date,33,snap date added,151127
company_reference,snap_date_modified,date,34,snap date modified,151127
company_reference,msop_status,character varying(24),35,msop status,151127
company_reference,msop_vote_support,double precision,36,msop vote support,151127
company_reference,pfp_has_test_yn,double precision,37,pfp has test yn,151127
