table_name,column_name,data_type,position,description,approx_rows_in_table
committee_detail,person_committee_company_event_i,character varying(37),1,,8386879
committee_detail,committee_event_id,character varying(26),2,committee event id,8386879
committee_detail,committee_type,character varying(21),3,committee type,8386879
committee_detail,committee_type_id,double precision,4,committee type id,8386879
committee_detail,parent_committee_id,double precision,5,parent committee id,8386879
committee_detail,person_company_event_id,character varying(34),6,person company event id,8386879
committee_detail,company_event_id,character varying(23),7,company event id,8386879
committee_detail,iss_company_id,double precision,8,iss company id,8386879
committee_detail,iss_person_id,double precision,9,iss person id,8386879
committee_detail,most_recent_event_yn,double precision,10,most recent event yn,8386879
committee_detail,disclosed_commitee_name,character varying(2),11,,8386879
committee_detail,number_of_meetings,double precision,12,number of meetings,8386879
committee_detail,committee_function,character varying(28),13,committee function,8386879
committee_detail,board_committee_yn,double precision,14,board committee yn,8386879
committee_detail,temporary_committee_yn,double precision,15,temporary committee yn,8386879
committee_detail,members_disclosed,character varying(30),16,members disclosed,8386879
committee_detail,committee_membership_type,character varying(8),17,committee membership type,8386879
committee_detail,mandate_type,character varying(24),18,mandate type,8386879
committee_detail,financial_expert_yn,double precision,19,financial expert yn,8386879
committee_detail,start_date,date,20,start date,8386879
committee_detail,start_date_precision,character varying(12),21,start date precision,8386879
committee_detail,end_date,date,22,end date,8386879
committee_detail,end_date_precision,character varying(12),23,end date precision,8386879
committee_detail,number_of_eligible_meetings,double precision,24,number of eligible meetings,8386879
committee_detail,number_of_meetings_participated,double precision,25,number of meetings participated,8386879
committee_detail,former_role_yn,double precision,26,former role yn,8386879
company_diversity,company_event_id,character varying(23),1,company event id,597148
company_diversity,from_date,date,2,from date,597148
company_diversity,to_date,date,3,to date,597148
company_diversity,most_recent_event_yn,double precision,4,most recent event yn,597148
company_diversity,company_event_order_rank,double precision,5,company event order rank,597148
company_diversity,iss_meeting_id,double precision,6,iss meeting id,597148
company_diversity,last_meeting_date,date,7,last meeting date,597148
company_diversity,fiscal_year,double precision,8,,597148
company_diversity,most_recent_fy_end_date,date,9,most recent fy end date,597148
company_diversity,data_capture_type,character varying(14),10,data capture type,597148
company_diversity,iss_company_id,double precision,11,iss company id,597148
company_diversity,board_size,double precision,12,board size,597148
company_diversity,board_structure,character varying(10),13,board structure,597148
company_diversity,eca_company_year_id,character varying(26),14,eca company year id,597148
company_diversity,event_added_date,date,15,event added date,597148
company_diversity,event_modified_date,date,16,event modified date,597148
company_diversity,event_correction_date,date,17,event correction date,597148
company_diversity,event_completed_yn,double precision,18,event completed yn,597148
company_diversity,event_completed_date,date,19,event completed date,597148
company_diversity,gender_diversity_statement_detai,character varying(29),20,,597148
company_diversity,board_gender_diversity_policy_yn,character varying(16),21,board gender diversity policy yn,597148
company_diversity,board_gender_diversity_goal_num,double precision,22,board gender diversity goal num,597148
company_diversity,board_gender_diversity_goal_pct,double precision,23,board gender diversity goal pct,597148
company_diversity,board_gender_diversity_statement,character varying(5),24,,597148
company_diversity,exec_gender_diversity_policy_yn,character varying(5),25,exec gender diversity policy yn,597148
company_diversity,exec_gender_diversity_goal_num,double precision,26,exec gender diversity goal num,597148
company_diversity,exec_gender_diversity_goal_pct,double precision,27,exec gender diversity goal pct,597148
company_diversity,exec_gender_diversity_statement_,character varying(5),28,,597148
company_diversity,mgmt_gender_diversity_statement_,character varying(5),29,,597148
company_diversity,emp_gender_diversity_statement_y,character varying(5),30,,597148
company_diversity,diversity_statement,character varying(2),31,diversity statement,597148
company_diversity,diversity_statement_source,character varying(2),32,diversity statement source,597148
company_diversity,number_women_directors,double precision,33,number women directors,597148
company_diversity,pct_women_directors,double precision,34,pct women directors,597148
company_diversity,number_men_directors,double precision,35,number men directors,597148
company_diversity,pct_men_directors,double precision,36,pct men directors,597148
company_diversity,num_women_neos,double precision,37,num women neos,597148
company_diversity,num_men_neos,double precision,38,num men neos,597148
company_diversity,num_directors_leadership_exp,double precision,39,num directors leadership exp,597148
company_diversity,num_directors_ceo_exp,double precision,40,num directors ceo exp,597148
company_diversity,num_directors_cfo_exp,double precision,41,num directors cfo exp,597148
company_diversity,num_directors_international_exp,double precision,42,num directors international exp,597148
company_diversity,num_directors_industry_exp,double precision,43,num directors industry exp,597148
company_diversity,num_directors_technology_exp,double precision,44,num directors technology exp,597148
company_diversity,num_directors_risk_exp,double precision,45,num directors risk exp,597148
company_diversity,num_directors_government_exp,double precision,46,num directors government exp,597148
company_diversity,num_directors_audit_exp,double precision,47,num directors audit exp,597148
company_diversity,num_directors_sales_exp,double precision,48,num directors sales exp,597148
company_diversity,num_directors_academic_exp,double precision,49,num directors academic exp,597148
company_diversity,num_directors_legal_exp,double precision,50,num directors legal exp,597148
company_diversity,num_directors_human_resources_ex,double precision,51,,597148
company_diversity,num_directors_strategic_planning,double precision,52,,597148
company_diversity,num_directors_operations_exp,double precision,53,num directors operations exp,597148
company_diversity,num_directors_mergers_acquisitio,double precision,54,,597148
company_diversity,num_directors_csr_sri_exp,double precision,55,num directors csr sri exp,597148
company_diversity,median_director_age,double precision,56,median director age,597148
company_diversity,stdev_director_age,double precision,57,stdev director age,597148
company_diversity,median_director_tenure,double precision,58,median director tenure,597148
company_diversity,stdev_director_tenure,double precision,59,stdev director tenure,597148
company_diversity,pct_board_tenure_gt_9_yrs,double precision,60,pct board tenure gt 9 yrs,597148
company_diversity,pct_board_tenure_lt_6_yrs,double precision,61,pct board tenure lt 6 yrs,597148
company_diversity,controlled_company_yn,double precision,62,controlled company yn,597148
company_diversity,controlling_entity_group_name,character varying(2),63,controlling entity group name,597148
company_diversity,pct_voting_power_controlling_ent,double precision,64,,597148
company_diversity,pct_economic_ownership_controlli,double precision,65,,597148
company_diversity,pct_voting_power_directors_offic,double precision,66,,597148
company_diversity,num_board_meetings,double precision,67,num board meetings,597148
company_diversity,num_board_meetings_excld_mgmt,double precision,68,num board meetings excld mgmt,597148
company_diversity,board_can_meet_without_mgmt_yne,double precision,69,board can meet without mgmt yne,597148
company_diversity,dirs_not_elected_by_stock_class_,double precision,70,,597148
company_diversity,tenure_policy_years,double precision,71,tenure policy years,597148
company_diversity,tenure_policy_waive_yn,double precision,72,tenure policy waive yn,597148
company_diversity,retirement_policy_age,double precision,73,retirement policy age,597148
company_diversity,retirement_policy_waive_yn,double precision,74,retirement policy waive yn,597148
company_diversity,annual_performance_evaluation,character varying(75),75,annual performance evaluation,597148
company_diversity,has_lead_director_yn,double precision,76,has lead director yn,597148
company_diversity,has_non_employee_chair_yn,double precision,77,has non employee chair yn,597148
company_diversity,audit_comm,character varying(6),78,audit comm,597148
company_diversity,nominating_comm,character varying(6),79,nominating comm,597148
company_diversity,compensation_comm,character varying(6),80,compensation comm,597148
company_diversity,governance_comm,character varying(6),81,governance comm,597148
company_diversity,risk_comm,character varying(6),82,risk comm,597148
company_diversity,health_safety_comm,character varying(6),83,health safety comm,597148
company_diversity,sustainability_comm,character varying(6),84,sustainability comm,597148
director_roles,co_person_id,character varying(23),1,co person id,4906076
director_roles,person_company_event_id,character varying(34),2,person company event id,4906076
director_roles,iss_company_id,double precision,3,iss company id,4906076
director_roles,person_most_recent_event_yn,double precision,4,person most recent event yn,4906076
director_roles,directorship_most_recent_yn,double precision,5,directorship most recent yn,4906076
director_roles,directorship_event_order_rank,double precision,6,directorship event order rank,4906076
director_roles,person_first_event_yn,double precision,7,person first event yn,4906076
director_roles,iss_person_id,double precision,8,iss person id,4906076
director_roles,association_type,character varying(10),9,association type,4906076
director_roles,include_in_board_stats_yn,double precision,10,include in board stats yn,4906076
director_roles,age,double precision,11,age,4906076
director_roles,ceo_yn,double precision,12,ceo yn,4906076
director_roles,eca_person_year_id,character varying(39),13,eca person year id,4906076
director_roles,has_iss_affiliation_yn,double precision,14,has iss affiliation yn,4906076
director_roles,iss_affiliation_classification,character varying(14),15,iss affiliation classification,4906076
director_roles,company_affiliation_classificati,character varying(6),16,,4906076
director_roles,director_start_date,date,17,director start date,4906076
director_roles,director_start_date_precision,character varying(12),18,director start date precision,4906076
director_roles,computed_tenure,double precision,19,computed tenure,4906076
director_roles,iss_tenure,double precision,20,iss tenure,4906076
