table_name,column_name,data_type,position,description,approx_rows_in_table
beneown,cik,character varying(12),1,CIK,741846
beneown,fiscalyear,double precision,2,Fiscal Year,741846
beneown,fiscalmonth,double precision,3,Fiscal Month,741846
beneown,sharesowned,double precision,4,Shares Owned,741846
beneown,percentageowned,double precision,5,Percentage Owned,741846
beneown,sharesownedb,double precision,6,Shares B Owned,741846
beneown,percentageownedb,double precision,7,Percentage Shares B Owned,741846
beneown,participantid,double precision,8,Participant ID,741846
bhown,cik,character varying(12),1,CIK,185805
bhown,fiscalyear,double precision,2,Fiscal Year,185805
bhown,fiscalmonth,double precision,3,Fiscal Month,185805
bhown,blockholdername,character varying(200),4,BlockHolder Name,185805
bhown,sharesowned,double precision,5,Shares Owned,185805
bhown,percentageowned,double precision,6,Percentage Owned,185805
companyfy,cik,character varying(12),1,CIK,59305
companyfy,ticker,character varying(12),2,Ticker,59305
companyfy,companyname,character varying(63),3,Company Name,59305
companyfy,cusip,character varying(9),4,CUSIP,59305
companyfy,fiscalyear,double precision,5,Fiscal Year,59305
companyfy,fiscalmonth,double precision,6,Fiscal Month,59305
companyfy,type,character varying(40),7,Type,59305
companyfy,fiscalyearend,date,8,Fiscal Year End,59305
companyfy,filingdate,date,9,Filing Date,59305
companyfy,meetingdate,date,10,Meeting Date,59305
companyfy,splitadjustmentfactor,double precision,11,Split Adjustment Factor,59305
companyfy,businessstreet,character varying(60),12,Business Street,59305
companyfy,businesscity,character varying(29),13,Business City,59305
companyfy,businessstate,character varying(4),14,Business State,59305
companyfy,businesszip,character varying(10),15,Business Zip,59305
companyfy,mailingstreet,character varying(60),16,Mailing Street,59305
companyfy,mailingcity,character varying(28),17,Mailing City,59305
companyfy,mailingstate,character varying(4),18,Mailing State,59305
companyfy,mailingzip,character varying(10),19,Mailing Zip,59305
comppeer,cik,character varying(12),1,CIK,618998
comppeer,fiscalyear,double precision,2,Fiscal Year,618998
comppeer,fiscalmonth,double precision,3,Fiscal Month,618998
comppeer,peercik,double precision,4,Peer CIK,618998
comppeer,peerticker,character varying(12),5,Peer Ticker,618998
comppeer,peername,character varying(253),6,Peer Name,618998
consultant,cik,character varying(12),1,CIK,75586
consultant,fiscalyear,double precision,2,Fiscal Year,75586
consultant,fiscalmonth,double precision,3,Fiscal Month,75586
consultant,status,character varying(11),4,Status,75586
consultant,type,character varying(31),5,Type,75586
consultant,compconsultantid,double precision,6,Compensation Consultant ID,75586
consultant,compconsultantname,character varying(49),7,Compensation Consultant Name,75586
consultant,isprimary,double precision,8,Is Primary,75586
