table_name,column_name,data_type,position,description,approx_rows_in_table
euro_companyfy,companyid,double precision,1,CompanyID,8231
euro_companyfy,cik,character varying(10),2,CIK,8231
euro_companyfy,ticker,character varying(10),3,Ticker,8231
euro_companyfy,companyname,character varying(53),4,Company Name,8231
euro_companyfy,cusip,character varying(9),5,CUSIP,8231
euro_companyfy,fiscalyear,double precision,6,Fiscal Year,8231
euro_companyfy,fiscalmonth,double precision,7,Fiscal Month,8231
euro_companyfy,type,character varying(97),8,Type,8231
euro_companyfy,fiscalyearend,date,9,Fiscal Year End,8231
euro_companyfy,filingdate,date,10,Filing Date,8231
euro_companyfy,meetingdate,date,11,Meeting Date,8231
euro_companyfy,splitadjustmentfactor,double precision,12,Split Adjustment Factor,8231
euro_companyfy,businessstreet,character varying(60),13,Business Street,8231
euro_companyfy,businesscity,character varying(25),14,Business City,8231
euro_companyfy,businessstate,character varying(2),15,Business State,8231
euro_companyfy,businesszip,character varying(8),16,Business Zip,8231
euro_companyfy,mailingstreet,character varying(60),17,Mailing Street,8231
euro_companyfy,mailingcity,character varying(25),18,Mailing City,8231
euro_companyfy,mailingstate,character varying(2),19,Mailing State,8231
euro_companyfy,mailingzip,character varying(10),20,Mailing Zip,8231
euro_companyfy,currencycode,character varying(3),21,Currency Code,8231
euro_companyfy,currencyconversionratio,double precision,22,Currency Conversion Ratio,8231
euro_companyfy,currencyconversiondate,date,23,Currency Conversion Date,8231
euro_comppeer,companyid,double precision,1,CompanyID,26161
euro_comppeer,cik,character varying(10),2,CIK,26161
euro_comppeer,fiscalyear,double precision,3,Fiscal Year,26161
euro_comppeer,fiscalmonth,double precision,4,Fiscal Month,26161
euro_comppeer,peercik,character varying(10),5,Peer CIK,26161
euro_comppeer,peerticker,character varying(11),6,Peer Ticker,26161
euro_comppeer,peername,character varying(59),7,Peer Name,26161
euro_consultant,companyid,double precision,1,CompanyID,9970
euro_consultant,cik,character varying(10),2,CIK,9970
euro_consultant,fiscalyear,double precision,3,Fiscal Year,9970
euro_consultant,fiscalmonth,double precision,4,Fiscal Month,9970
euro_consultant,status,character varying(11),5,Status,9970
euro_consultant,type,character varying(31),6,Type,9970
euro_consultant,compconsultantid,double precision,7,Compensation Consultant ID,9970
euro_consultant,compconsultantname,character varying(100),8,Compensation Consultant Name,9970
euro_consultant,isprimary,double precision,9,Is Primary,9970
euro_consultant,retainedby,character varying(23),10,Retained By,9970
euro_consultant,fees,double precision,11,Fees,9970
euro_consultant,otherfees,double precision,12,Other Fees,9970
euro_gpbaabs,companyid,double precision,1,CompanyID,64059
euro_gpbaabs,cik,character varying(10),2,CIK,64059
euro_gpbaabs,fiscalyear,double precision,3,Fiscal Year,64059
euro_gpbaabs,grantid,double precision,4,Grant ID,64059
euro_gpbaabs,absid,double precision,5,Abs ID,64059
euro_gpbaabs,periodid,double precision,6,Period ID,64059
euro_gpbaabs,metrictype,character varying(34),7,Metric Type,64059
euro_gpbaabs,metric,character varying(40),8,Metric,64059
euro_gpbaabs,metricother,character varying(92),9,Other Metric,64059
euro_gpbaabs,metrictargetoperand,character varying(2),10,Metric Target Operand,64059
euro_gpbaabs,metrictargetvalue,double precision,11,Metric Target Value,64059
euro_gpbaabs,metricgrowthvalue,double precision,12,Metric Growth Value,64059
euro_gpbaabs,metricispershare,double precision,13,Metric is per Share,64059
euro_gpbaabs,metricismargin,double precision,14,Metric is a Margin Measurement,64059
euro_gpbaabs,metricisgrowth,double precision,15,Metric is a Growth Measurement,64059
euro_gpbaabs,metricisbusgeo,double precision,16,Metric is a Business Unit or Geographic Area,64059
euro_gpbaabs,percentvest,double precision,17,Percent Vest,64059
euro_gpbaabs,vestlow,double precision,18,Vest Low,64059
euro_gpbaabs,vesthigh,double precision,19,Vest High,64059
euro_gpbaabs,onetimehit,double precision,20,One Time Hit,64059
euro_gpbaabs,payoutstructure,character varying(323),21,Payout Structure,64059
euro_gpbaabs,goalthreshold,double precision,22,Performance goal for a Threshold payout,64059
euro_gpbaabs,goaltarget,double precision,23,Performance goal for a Target payout,64059
euro_gpbaabs,goalmax,double precision,24,Performance goal for a Max payout,64059
euro_gpbaabs,payoutthreshold,double precision,25,Threshold payout as a percentage of Target,64059
euro_gpbaabs,payouttarget,double precision,26,Target payout,64059
euro_gpbaabs,payoutmax,double precision,27,Max payout as a percentage of Target,64059
euro_gpbaabs,interpolationthreshold,character varying(2),28,Indicator for interpolation of payouts between Threshold and Target,64059
