table_name,column_name,data_type,position,description,approx_rows_in_table
committee96_97,id,double precision,1,IRRC Company ID,30498
committee96_97,ticker,character varying,2,Ticker,30498
committee96_97,lname,character varying,3,Last Name,30498
committee96_97,fname,character varying,4,First/Given Name,30498
committee96_97,nommbr,character varying,5,Nominating Committee Membership,30498
committee96_97,compmbr,character varying,6,Compensation Committee Membership,30498
committee96_97,auditmbr,character varying,7,Committee Membership Audit,30498
committee96_97,year,double precision,8,Data year,30498
committee96_97,did,double precision,9,Director ID,30498
committee96_97,corpgov,character varying,10,Corporate Governance Committee Membership,30498
committee96_97,fullname,character varying,11,,30498
committee_numbers_97,id,double precision,1, IRRC-company-ID,1382
committee_numbers_97,comnam,character varying,2, Company,1382
committee_numbers_97,ticker,character varying,3, Ticker,1382
committee_numbers_97,cusip,character varying,4, CUSIP,1382
committee_numbers_97,tier,double precision,5, IRRC-tier,1382
committee_numbers_97,idx_desc,character varying,6, S&P-index,1382
committee_numbers_97,audsize,double precision,7, Audit Cmte Size,1382
committee_numbers_97,audsize1,double precision,8, Number of employees or aff dirs sitting on Audit Cmte,1382
committee_numbers_97,audsize2,double precision,9, Number of indep. dirs sitting on Audit Cmte,1382
committee_numbers_97,compsize,double precision,10, Compensation Cmte Size,1382
committee_numbers_97,compsize1,double precision,11, Number of employees or aff dirs sitting on Comp. Cmte,1382
committee_numbers_97,compsize2,double precision,12, Number of indep. dirs sitting on Comp. Cmte,1382
committee_numbers_97,nomsize,double precision,13, Nom. Cmte Size,1382
committee_numbers_97,nomsize1,double precision,14, Number of employees or aff. dirs sitting on Nom. Cmte,1382
committee_numbers_97,nomsize2,double precision,15, Number of indep. dirs sitting on Nom. Cmte,1382
directors,year,double precision,1,Year of the Annual Meeting,166375
directors,legacy_pps_id,double precision,2,Legacy IRRC company ID,166375
directors,rt_id,double precision,3,IRRC company ID,166375
directors,director_detail_id,double precision,4,IRRC director ID,166375
directors,legacy_director_id,double precision,5,Legacy IRRC director ID,166375
directors,ticker,character varying,6,Ticker,166375
directors,cusip,character varying,7,CUSIP - 6 Digit,166375
directors,name,character varying,8,Company Name,166375
directors,meetingdate,date,9,Meeting date,166375
directors,first_name,character varying,10,First name,166375
directors,last_name,character varying,11,Last name,166375
directors,fullname,character varying,12,Director Full Name,166375
directors,age,double precision,13,Director age,166375
directors,female,double precision,14,Female?,166375
directors,ethnicity,character varying,15,Ethnicity,166375
