table_name,column_name,data_type,position,description,approx_rows_in_table
gset,ticker,character varying(5),1,Ticker,13998
gset,cn6,character varying(8),2,Header 6-digit CUSIP,13998
gset,cik,character varying(10),3,CIK,13998
gset,date1,date,4,Beginning Day. Date used to create range of time when data is applicable.,13998
gset,date2,date,5,Ending Day. Date used to create range of time when data is applicable.,13998
gset,year,double precision,6,Year,13998
gset,coname,character varying(48),7,Company name,13998
gset,blankcheck,smallint,8,Blank Check Preferred,13998
gset,cboard,smallint,9,Classified Board,13998
gset,fairprice,smallint,10,Fair Price,13998
gset,supermajor,smallint,11,Supermajority to Approve Merger,13998
gset,antigreen,smallint,12,Antigreenmail,13998
gset,dutiesnf,smallint,13,Director\'\'s Duties--Nonfinancial Impact,13998
gset,dualclass,smallint,14,Dual Class Common Stock,13998
gset,uneqvote,smallint,15,Unequal Voting Rights,13998
gset,ppill,smallint,16,Poison Pill,13998
gset,advnr,smallint,17,Advance Notice Requirements,13998
gset,confvote,smallint,18,Confidential Voting,13998
gset,exsvchg,smallint,19,Change in Control Provisions,13998
gset,sparachute,smallint,20,Silver Parachute,13998
gset,pparachute,smallint,21,Pension Parachute,13998
gset,cumvote,smallint,22,Cumulative Voting,13998
gset,compplan,smallint,23,Compensation Plan with Change in Control,13998
gset,cumvotess,smallint,24,Substantial Shareholder,13998
gset,gparachute,smallint,25,Golden Parachutes,13998
gset,oo_buscomp,smallint,26,Opt out of BusComb/Freezeout law,13998
gset,oo_cashout_pa,smallint,27,Opt out of control share cashout law (PA),13998
gset,oo_csa,smallint,28,Opt out of control share acquisition law(CSA),13998
gset,oo_duties,smallint,29,Opt out of directors duties law,13998
gset,oo_fairprice,smallint,30,Opt out of Fair Price law,13998
gset,oo_rprofits,smallint,31,Opt out of Recapture of Profits law,13998
gset,oi_bc_ga,smallint,32,Opt in to BusComb/Freezeout law(GA),13998
gset,oi_fp_ga,smallint,33,Opt in to Fair Price law(GA),13998
gset,oi_csa,smallint,34,Opt in to control share acquisition law(CSA),13998
gset,exch,character varying(6),35,Stock Exchange,13998
gset,dirind,smallint,36,Director Indemnification,13998
gset,dirindc,smallint,37,Indemnification contracts,13998
gset,dirliab,smallint,38,Director liability,13998
gset,execsv,smallint,39,Executive severance agreement,13998
gset,state,character varying(2),40,State of Incorporation,13998
gset,de_inc,smallint,41,Delaware Incorporation,13998
gset,sl_buscomp,smallint,42,Business Combination Law,13998
gset,sl_fairprice,smallint,43,Fair Price Law,13998
gset,sl_csa,smallint,44,Control Share Acquisition Law,13998
gset,sl_rprofits,smallint,45,Recapture of profits law,13998
gset,sl_cashout,smallint,46,Cash out law,13998
gset,sl_duties,smallint,47,Director\'\'s Duties Law,13998
gset,gindex,double precision,48,"Governance Index (Gompers, Ishii, Metrick)",13998
gset,secretballot,double precision,49,Combined Secret Ballot,13998
gset,goldenparachute,double precision,50,Combined Golden Parachutes,13998
gset,severance,double precision,51,Combined Severance,13998
gset,page,double precision,52,IRRC Page Number,13998
gset,yr_reinc,double precision,53,Year of reincorporation,13998
gset,ecumvote,smallint,54,Eliminate Cumulative Voting,13998
gset,empc,smallint,55,Employee Contracts,13998
gset,scrtbt,smallint,56,Secret Ballot,13998
gset,lwcnst,smallint,57,Limit Ability to Act by Written Consent,13998
gset,lspmt,smallint,58,Limit Ability to Call Special Meeting,13998
gset,lachtr,smallint,59,Limit Ability to Amend Charter,13998
gset,labylw,smallint,60,Limit Ability to Amend Bylaws,13998
rm_gov_2010,blankcheck,character varying(30),1,BlankChkPreferedYN,1481
rm_gov_2010,carve_out,character varying(20),2,CarveOutContest,1481
rm_gov_2010,cboard,character varying(20),3,classifiedboard,1481
rm_gov_2010,coname,character varying(100),4,name,1481
rm_gov_2010,confvote,character varying(20),5,VoteConfidentialityYN,1481
rm_gov_2010,cumvote,character varying(30),6,CumulativeVoteYN,1481
rm_gov_2010,dualclass,character varying(30),7,DualClassCommStkYN,1481
rm_gov_2010,fairprice,character varying(20),8,FairPriceYN,1481
rm_gov_2010,gparachute,character varying(20),9,GoldParachuteYN,1481
rm_gov_2010,labylw,character varying(25),10,LimitAmendBylaw,1481
rm_gov_2010,lachtr,character varying(20),11,LimitCharterAmend,1481
rm_gov_2010,legacypps_id,character varying(10),12,,1481
rm_gov_2010,lspmt,character varying(20),13,LimitedSpecialMeeting,1481
rm_gov_2010,lwcnst,character varying(30),14,LimitActWrittenConsent,1481
rm_gov_2010,maj_vote_required,character varying(30),15,MajorityVoteRequired,1481
rm_gov_2010,maj_vote_requirement,character varying(25),16,majorityVoteRequirement,1481
rm_gov_2010,major_vote_comm,character varying(1200),17,MajorityVoteComment,1481
rm_gov_2010,ppill,character varying(20),18,PoisonPillYN,1481
rm_gov_2010,resign_require,character varying(30),19,ResignationRequirement,1481
rm_gov_2010,sic,character varying(20),20,,1481
rm_gov_2010,state,character varying(12),21,,1481
rm_gov_2010,ticker,character varying(30),22,ticker-trimmed,1481
rm_gov_2010,tier,character varying(10),23,Tier,1481
rm_gov_2010,uneqvote,character varying(15),24,unequal_voting_rights,1481
rm_gov_2010,oo_buscomp,character varying(14),25,,1481
