type_,code,desc_
0,1,FileCode
0,2,DataTypeCode
0,3,TableCode
0,4,HierarchicalCode
0,5,Pillar Code
0,6,Lic Flag for ESG Disclosure Regulations
0,7,AsReported Scaling Code
0,8,AsReported Unit Code
1,1,RFT-ESG-Raw-Full-SchemeB-Social
1,2,RFT-ESG-Raw-Full-SchemeB-Env
1,3,RFT-ESG-Scores-Full
1,4,RFT-ESG-Raw-Full-SchemeB-Gov
2,1,Boolean
2,2,Date
2,3,Float
2,4,Integer
2,5,Money
2,6,String
3,1,ESGEnvDataPoint
3,2,ESGEnvIndicator
3,3,ESGSocDataPoint
3,4,ESGSocIndicator
3,5,ESGGovDataPoint
3,6,ESGGovIndicator
3,7,ESGScores
3,8,ESGDnIRatings
4,1,Data Point
4,2,Indicator
4,3,Category Score
4,4,Score
5,1,ESG Scores
5,2,Diversity Inclusion Rating
5,4,Environment
5,5,Governance
5,6,Social
6,1,BMR
6,2,SFDR
6,3,Both BMR and SFDR
7,1010066,Ones (no scaling)
7,1010067,Thousands
7,1010068,Millions
7,1010069,Billions
7,1010188,Tens
7,1010189,Hundreds
7,1010190,Ten Thousands
7,1010191,Hundred Thousands
7,1010192,Ten Millions
7,1010193,Hundred Millions
7,1010204,Hundred Billions
7,1010205,Trillions
8,509013,kilogram
8,509014,= 7 000 grains; avoirdupois
8,509015,= 100 kg; metric
8,509016,= 2 000 lb; 907.1847 kg
8,509017,= 1 000 kg
8,509018,= 42 gal (US); petroleum
8,509019,= 2 150.42 cu in; U.S. Dry Level
8,509020,= 1 ft × 1 ft × 1 ft
8,509021,= 1 m × 1 m × 1 m; SI Unit
8,509023,= 231 cu in; U.S. Fluid
8,509024,= 1 dm3
8,509030,British thermal unit (International Table)
8,509031,= 1 hp × 1 h
8,509032,The work done when a force of one newton moves the point of its application a distance of one meter
8,509033,= 1 000 joules
8,509034,= 1 000 000 joules
8,509035,= 1 000 000 000 000 joules
8,509036,= 1 kW × 1 h
8,509037,= 1 megaW × 1 h
8,509038,= 1 gigaW × 1 h
8,509039,= 1 teraW × 1 h
8,509042,= 1 W × 1 h
8,509043,= 100 000 BTUIT; EC
8,509044,= 1 000 000 BTUIT
8,509066,= a common year (365 d)
8,509067,= 60 min
8,509072,= 24 h
8,509087,= 7 d
8,509089,~ 5.8 × 106 BTU59 °F
8,509090,= 3 1/6 gr
8,509091,= 1/1000 Kg
8,509092,= 2 240 lb
8,509109,= 1 000 000 000 calIT
8,509111,= 1 000 000 000 joules
8,509112,= 100 L
8,509114,= 1 000 calIT
8,509125,Energy equivalent of a kiloliter of oil
8,509126,the amount of energy released by burning one metric ton of crude oil approx. 42 GJ
8,509127,"the amount of energy released by burning one metric ton of hard coal approx. 29,3 GJ"
8,509207,41 868 000 joules
8,1000228761,= 100 lb
8,1000228762,Gram per Kilowatt-Hour
8,1000315630,"= 4.181 Joule. Unit of energy or heat. The calorie is about 4.2 joules, the amount of heat needed to"
8,1000316858,= 0.000001 cubic meter
8,1000316863,"= 1,000,000 cubic meter"
8,1000316864,"= 1,000 cubic meter"
8,1000316866,= 0.001 cubic meter
8,1000316868,1 UK bbl ~ 0.16366 cubic meter;petroleum
8,1000316993,1 kiloliter of gasoline is approximately 740 kilograms
8,1000317010,1 US gallon of gasoline is approximately 2.8 kilograms
8,1000317011,1 US barrel of gasoline is approximately 117.6 kilograms
8,1000317020,1 kiloliter of diesel is approximately 832 kilograms
8,1000317021,1 US gallon of diesel is approximately 3.1 kilograms
8,1000317022,mass of 1 US barrell of diesel is approximately 132.3 kilogram
8,1000317381,energy yield for one US gallon of gasoline expressed in Lower (net) Heating Value (HHV); equivalent
8,1000317382,energy yield for one US gallon of gasoline expressed in High (gross) Heating Value (HHV); equivalent
8,1000317467,energy yield for one liter of gasoline expressed in High (gross) Heating Value (HHV); equivalent to
8,1000317469,energy yield for one liter of gasoline expressed in Lower (net) Heating Value (LHV); equivalent to 3
8,1000317471,energy yield for one US gallon of diesel expressed in High (gross) Heating Value (HHV); equivalent t
8,1000317472,energy yield for one US gallonof diesel expressed in Lower (net) Heating Value (LHV); equivalent to
8,1000317473,energy yield for one US Barrel (Petroleum) of diesel expressed in High (gross) Heating Value (HHV);
8,1000317476,energy yield for one liter of diesel expressed in High (gross) Heating Value (HHV); equivalent to 38
8,1000317477,"energy yield for one liter of diesel expressed in Lower (net) Heating Value (LHV); equivalent to 35,"
