type_,code,desc_
0,1,NAICS Code Descriptions
0,2,SIC Code Descriptions
0,3,ESG Org Covergae Flag Description
0,4,BCP-47 Language Code Descriptions
0,5,ISO Country Code Descriptions
0,6,ISO Currency Code Descriptions
0,7,ESG Disclosure Regulations
1,111110,Soybean Farming
1,111120,Oilseed (except Soybean) Farming
1,111130,Dry Pea and Bean Farming
1,111140,Wheat Farming
1,111150,Corn Farming
1,111160,Rice Farming
1,111191,Oilseed and Grain Combination Farming
1,111199,All Other Grain Farming
1,111211,Potato Farming
1,111219,Other Vegetable (except Potato) and Melon Farming
1,111310,Orange Groves
1,111320,Citrus (except Orange) Groves
1,111331,Apple Orchards
1,111332,Grape Vineyards
1,111335,Tree Nut Farming
1,111336,Fruit and Tree Nut Combination Farming
1,111339,Other Noncitrus Fruit Farming
1,111411,Mushroom Production
1,111419,Other Food Crops Grown Under Cover
1,111421,Nursery and Tree Production
1,111422,Floriculture Production
1,111910,Tobacco Farming
1,111920,Cotton Farming
1,111930,Sugarcane Farming
1,111940,Hay Farming
1,111991,Sugar Beet Farming
1,111998,All Other Miscellaneous Crop Farming
1,112111,Beef Cattle Ranching and Farming
1,112120,Dairy Cattle and Milk Production
1,112130,Dual-Purpose Cattle Ranching and Farming
1,112210,Hog and Pig Farming
1,112310,Chicken Egg Production
1,112320,Broilers and Other Meat Type Chicken Production
1,112340,Poultry Hatcheries
1,112390,Other Poultry Production
1,112511,Finfish Farming and Fish Hatcheries
1,112512,Shellfish Farming
1,112519,Other Aquaculture
1,112990,All Other Animal Production
1,113110,Timber Tract Operations
1,113210,Forest Nurseries and Gathering of Forest Products
1,113310,Logging
1,114111,Finfish Fishing
1,114112,Shellfish Fishing
1,114119,Other Marine Fishing
1,115111,Cotton Ginning
1,115112,"Soil Preparation, Planting, and Cultivating"
1,115113,"Crop Harvesting, Primarily by Machine"
1,115114,Postharvest Crop Activities (except Cotton Ginning)
1,115116,Farm Management Services
1,115210,Support Activities for Animal Production
1,115310,Support Activities for Forestry
1,211111,
1,211112,
1,211120,Crude Petroleum Extraction
1,211130,Natural Gas Extraction
1,212111,Bituminous Coal and Lignite Surface Mining
1,212112,Bituminous Coal Underground Mining
1,212113,Anthracite Mining
1,212210,Iron Ore Mining
1,212221,Gold Ore Mining
1,212222,Silver Ore Mining
1,212230,"Copper, Nickel, Lead, and Zinc Mining"
1,212231,
1,212234,
1,212291,Uranium-Radium-Vanadium Ore Mining
1,212299,All Other Metal Ore Mining
1,212311,Dimension Stone Mining and Quarrying
1,212312,Crushed and Broken Limestone Mining and Quarrying
1,212319,Other Crushed and Broken Stone Mining and Quarrying
1,212321,Construction Sand and Gravel Mining
1,212322,Industrial Sand Mining
1,212325,Clay and Ceramic and Refractory Minerals Mining
1,212391,"Potash, Soda, and Borate Mineral Mining"
1,212392,Phosphate Rock Mining
1,212393,Other Chemical and Fertilizer Mineral Mining
1,212399,All Other Nonmetallic Mineral Mining
1,213111,Drilling Oil and Gas Wells
1,213112,Support Activities for Oil and Gas Operations
1,213113,Support Activities for Coal Mining
1,213114,Support Activities for Metal Mining
1,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining
