item,feedfieldname,title,description,datatypecode,filecode,tablecode,heirarchycode,units,polarity,includedinscores,pillaritem,catitem,reglicflag,valuescoreexists,asrepexists,sourceexists
1,ESGScore,ESG Score,"Refinitiv's ESG Score is an overall company score based on the self-reported information in the environmental, social and corporate governance pillars.",3,3,7,4,Number,Positive,,,,,N,N,N
2,ESGCombinedScore,ESG Combined Score,"Refinitiv's ESG Combined Score is an overall company score based on the reported information in the environmental, social and corporate governance pillars (ESG Score) with an ESG Controversies overlay.",3,3,7,4,Number,Positive,,1,,2,N,N,N
3,ESGCControversiesScore,ESG Controversies Score,"ESG controversies category score measures a company's exposure to environmental, social and governance controversies and negative events reflected in global media.",3,3,7,4,Number,Positive,,1,,,N,N,N
4,EnvironmentPillarScore,Environment Pillar Score,Refinitiv's Environment Pillar Score is the weighted average relative rating of a company based on the reported environmental information and the resulting three environmental category scores.,3,3,7,4,Number,Positive,,1,,,N,N,N
5,GovernancePillarScore,Governance Pillar Score,Refinitiv's Governance Pillar Score is the weighted average relative rating of a company based on the reported governance information and the resulting three governance category scores.,3,3,7,4,Number,Positive,,1,,,N,N,N
6,SocialPillarScore,Social Pillar Score,Refinitiv's Social Pillar Score is the weighted average relative rating of a company based on the reported social information and the resulting four social category scores.,3,3,7,4,Number,Positive,,1,,,N,N,N
7,ESGResourceUseScore,Resource Use Score,"Resource use category score reflects a company's performance and capacity to reduce the use of materials, energy or water, and to find more eco-efficient solutions by improving supply chain management.",3,3,7,3,Number,Positive,,4,,,N,N,N
8,ESGEmissionsScore,Emissions Score,Emission category score measures a company's commitment and effectiveness towards reducing environmental emission in the production and operational processes.,3,3,7,3,Number,Positive,,4,,,N,N,N
9,ESGInnovationScore,Environmental Innovation Score,"Environmental innovation category score reflects a company's capacity to reduce the environmental costs and burdens for its customers, and thereby creating new market opportunities through new environmental technologies and processes or eco-designed products.",3,3,7,3,Number,Positive,,4,,,N,N,N
10,ESGWorkforceScore,Workforce Score,"Workforce category score measures a company's effectiveness towards job satisfaction, healthy and safe workplace, maintaining diversity and equal opportunities, and development opportunities for its workforce.",3,3,7,3,Number,Positive,,6,,,N,N,N
11,ESGHumanRightsScore,Human Rights Score,Human rights category score measures a company's effectiveness towards respecting the fundamental human rights conventions.,3,3,7,3,Number,Positive,,6,,,N,N,N
12,ESGCommunityScore,Community Score,"Community category score measures the company's commitment towards being a good citizen, protecting public health and respecting business ethics.",3,3,7,3,Number,Positive,,6,,,N,N,N
13,ESGProductResponsibilityScore,Product Responsibility Score,"Product responsibility category score reflects a company's capacity to produce quality goods and services integrating the customer's health and safety, integrity and data privacy.",3,3,7,3,Number,Positive,,6,,,N,N,N
14,ESGManagementScore,Management Score,Management category score measures a company's commitment and effectiveness towards following best practice corporate governance principles.,3,3,7,3,Number,Positive,,5,,,N,N,N
15,ESGShareholdersScore,Shareholders Score,Shareholders category score measures a company's effectiveness towards equal treatment of shareholders and the use of anti-takeover devices.,3,3,7,3,Number,Positive,,5,,,N,N,N
16,ESGCsrStrategyScore,CSR Strategy Score,"CSR strategy category score reflects a company's practices to communicate that it integrates the economic (financial), social and environmental dimensions into its day-to-day decision-making processes.",3,3,7,3,Number,Positive,,5,,,N,N,N
17,Score,TRDIR Score,Refinitiv's Diversity Inclusion Rating is an overall score of a company based on reported workforce information that define diverse and inclusive workplaces.,3,3,8,4,Number,Positive,,,,,N,N,N
18,DiversityScore,TRDIR Diversity Score,Diversity category measures a company's commitment and effectiveness towards maintaining gender diverse workforce and board member cultural diversity.,3,3,8,3,Number,Positive,,17,,,N,N,N
19,PeopleDevelopmentScore,TRDIR People Development Score,People Development category measures a company's commitment and effectiveness towards providing training and development (education) for its workforce.,3,3,8,3,Number,Positive,,17,,,N,N,N
20,InclusionScore,TRDIR Inclusion Score,"Inclusion category measures a company's commitment and effectiveness towards effective life-work balance, a family friendly environment and disability inclusion.",3,3,8,3,Number,Positive,,17,,,N,N,N
21,ControversiesScore,TRDIR Controversies Score,Controversies category accounts for the negative impact  workforce controversies have on the company.,3,3,8,3,Number,Positive,,17,,,N,N,N
22,AntiCompetitionControversiesCount,Anti-Competition Controversies Count,"Number of controversies published in the media linked to anti-competitive behavior (e.g., anti-trust and monopoly), price-fixing or kickbacks.",4,1,3,1,Number,Negative,TRESGC,6,12,,N,Y,Y
23,BusinessEthicsControversies,Business Ethics Controversies,"Number of controversies published in the media linked to business ethics in general, political contributions or bribery and corruption. - consider class actions filed against a company for not following the general ethics - investigations made against a company regarding a suit are considered - any other allegations made against the company",4,1,3,1,Number,Negative,TRESGC,6,12,1,N,Y,Y
24,CommunityLendingAndInvestments,Community Lending and Investments,"Total community lending, financing and investments which are not considered donations. - amount of community investments if the company receives any return for the same  - usually provided to low-income individuals or minorities, small businesses, and communities for special-needs housing, economic development, community-based facilities, etc. - includes direct micro-financing, affordable housing, business or personal lending, consumer credit and community development loans - mainly relevant for financial sector companies",5,1,3,1,Currency = Local Reporting Currency,Positive,TRESG,6,12,,Y,Y,Y
172,EquatorPrinciples,Equator Principles,Is the company a signatory of the Equator Principles (commitment to manage environmental issues in project financing)? - in focus are the companies who have adopted the equator principles which ensures that the projects being financed meet environmental standards,1,2,1,1,Y/N,Positive,,4,9,1,N,N,Y
25,CorporateResponsibilityAwards,Corporate Responsibility Awards,"Has the company received an award for its social, ethical, community, or environmental activities or performance? - external award for reporting fiscal year for its social, ethical, community, or environmental activities/performance - includes an external award for CSR programs and initiatives relating to health and safety, human rights, training and development, diversity and opportunity, good citizenship/community/philanthropy, environmental, environmental product award, etc.",1,1,3,1,Y/N,Positive,TRESG,6,12,,Y,N,Y
26,CrisisManagementSystems,Crisis Management Systems,"Does the company report on crisis management systems or reputation disaster recovery plans to reduce or minimize the effects of reputation disasters?  - any contingency plan in place to resume business with minimum downtime and to ensure that businesses can remain operational through any event or disaster - includes business continuity plan, disaster recovery system, emergency response plans, and crisis management system",1,1,3,1,Y/N,Positive,,6,12,,N,N,Y
27,CriticalCountriesControversies,Critical Countries Controversies,"Number of controversies published in the media linked to activities in critical, undemocratic countries that do not respect fundamental human rights principles. - consider lawsuit against companies that have its operations in Iran, Syria, Sudan, Burma & Cuba",4,1,3,1,Number,Negative,TRESGC,6,12,2,N,Y,Y
28,CriticalCountry1,Critical Country 1,"List the countries if the company has operations in Burma (Myanmar), Cuba, Iran, Sudan or Syria (the US sanction regime). - indicate countries where the company has been involved in a controversy for operating in a country with human rights violation",6,1,3,1,List of Countries,Negative,TRESG,6,12,2,Y,Y,Y
29,CriticalCountry2,Critical Country 2,"List the countries if the company has operations in Burma (Myanmar), Cuba, Iran, Sudan or Syria (the US sanction regime). - indicate countries where the company has been involved in a controversy for operating in a country with human rights violation",6,1,3,1,List of Countries,Negative,,6,12,,N,Y,Y
30,CriticalCountry3,Critical Country 3,"List the countries if the company has operations in Burma (Myanmar), Cuba, Iran, Sudan or Syria (the US sanction regime). - indicate countries where the company has been involved in a controversy for operating in a country with human rights violation",6,1,3,1,List of Countries,Negative,,6,12,,N,Y,Y
